file,overhead,unrecovered,run
0022-xlsx.xlsx_raptor_dist_rs3_nc5896.fasta,2,4177,0
0030-zip-highcompress.zip_raptor_dist_rs3_nc7290.fasta,9,6156,0
0022-xlsx.xlsx_raptor_dist_rs3_nc5896.fasta,8,5196,1
0022-xlsx.xlsx_raptor_dist_rs3_nc5896.fasta,5,4767,2
0030-zip-highcompress.zip_raptor_dist_rs3_nc7290.fasta,13,6139,1
0022-xlsx.xlsx_raptor_dist_rs3_nc5896.fasta,8,5180,3
0022-xlsx.xlsx_bmp_low_entropy_evo_dist_rs2_nc5640.fasta,2,4221,0
0022-xlsx.xlsx_raptor_dist_rs3_nc5896.fasta,4,5002,4
0030-zip-highcompress.zip_raptor_dist_rs3_nc7290.fasta,4,5962,2
0040-txt.txt_raptor_dist_rs2_nc19.fasta,19,12,0
0040-txt.txt_raptor_dist_rs2_nc19.fasta,1,10,1
0040-txt.txt_raptor_dist_rs2_nc19.fasta,0,0,2
0040-txt.txt_raptor_dist_rs2_nc19.fasta,2,16,3
0040-txt.txt_raptor_dist_rs2_nc19.fasta,3,11,4
0041-txt.txt_raptor_dist_rs2_nc12.fasta,1,11,0
0041-txt.txt_raptor_dist_rs2_nc12.fasta,1,10,1
0041-txt.txt_raptor_dist_rs2_nc12.fasta,2,9,2
0041-txt.txt_raptor_dist_rs2_nc12.fasta,0,0,3
0041-txt.txt_raptor_dist_rs2_nc12.fasta,0,0,4
0042-txt.txt_bmp_low_entropy_evo_dist_rs2_nc94.fasta,3,46,0
0042-txt.txt_bmp_low_entropy_evo_dist_rs2_nc94.fasta,1,74,1
0042-txt.txt_bmp_low_entropy_evo_dist_rs2_nc94.fasta,3,52,2
0042-txt.txt_bmp_low_entropy_evo_dist_rs2_nc94.fasta,0,0,3
0042-txt.txt_bmp_low_entropy_evo_dist_rs2_nc94.fasta,2,42,4
0042-txt.txt_raptor_dist_rs2_nc94.fasta,1,33,0
0042-txt.txt_raptor_dist_rs2_nc94.fasta,0,0,1
0042-txt.txt_raptor_dist_rs2_nc94.fasta,1,60,2
0042-txt.txt_raptor_dist_rs2_nc94.fasta,3,35,3
0042-txt.txt_bmp_low_entropy_evo_dist_rs3_nc98.fasta,3,72,0
0042-txt.txt_raptor_dist_rs2_nc94.fasta,5,57,4
0042-txt.txt_bmp_low_entropy_evo_dist_rs3_nc98.fasta,4,57,1
0042-txt.txt_bmp_low_entropy_evo_dist_rs3_nc98.fasta,1,83,2
0042-txt.txt_bmp_low_entropy_evo_dist_rs3_nc98.fasta,2,54,3
0042-txt.txt_bmp_low_entropy_evo_dist_rs3_nc98.fasta,3,53,4
0042-txt.txt_bmp_low_entropy_evo_dist_rs4_nc103.fasta,0,0,0
0042-txt.txt_bmp_low_entropy_evo_dist_rs4_nc103.fasta,0,0,1
0042-txt.txt_bmp_low_entropy_evo_dist_rs4_nc103.fasta,6,82,2
0042-txt.txt_bmp_low_entropy_evo_dist_rs4_nc103.fasta,4,50,3
0042-txt.txt_bmp_low_entropy_evo_dist_rs4_nc103.fasta,3,59,4
0043-txt.txt_bmp_low_entropy_evo_dist_rs2_nc69.fasta,0,0,0
0043-txt.txt_bmp_low_entropy_evo_dist_rs2_nc69.fasta,2,37,1
0043-txt.txt_bmp_low_entropy_evo_dist_rs2_nc69.fasta,1,33,2
0043-txt.txt_bmp_low_entropy_evo_dist_rs2_nc69.fasta,2,41,3
0043-txt.txt_bmp_low_entropy_evo_dist_rs2_nc69.fasta,4,32,4
0043-txt.txt_raptor_dist_rs3_nc72.fasta,2,49,0
0043-txt.txt_raptor_dist_rs3_nc72.fasta,2,46,1
0043-txt.txt_raptor_dist_rs3_nc72.fasta,1,40,2
